mkb2.pilot2_.uninitialized0	8073cc88	8073ef13	0x228c	true	true	false	false	Default	false			
mkb2.boat_.text0	8073ef20	807637b3	0x24894	true	true	true	false	Default	true			
mkb2.boat_.data0	807637b4	807637b7	0x4	true	true	false	false	Default	true			
mkb2.boat_.data1	807637b8	807637bb	0x4	true	true	false	false	Default	true			
mkb2.boat_.data2	807637bc	807649fb	0x1240	true	false	false	false	Default	true			
mkb2.boat_.data3	807649fc	80766c41	0x2246	true	true	false	false	Default	true			
mkb2.boat_.uninitialized0	80766c48	80772d5b	0xc114	true	true	false	false	Default	false			
mkb2.shooting_.text0	80772d60	807b2e57	0x400f8	true	true	true	false	Default	true			
mkb2.shooting_.data0	807b2e58	807b2e5b	0x4	true	true	false	false	Default	true			
mkb2.shooting_.data1	807b2e5c	807b2e5f	0x4	true	true	false	false	Default	true			
mkb2.shooting_.data2	807b2e60	807b4e73	0x2014	true	false	false	false	Default	true			
mkb2.shooting_.data3	807b4e74	808069c7	0x51b54	true	true	false	false	Default	true			
mkb2.shooting_.uninitialized0	808069c8	80833383	0x2c9bc	true	true	false	false	Default	false			
mkb2.rel_mini_futsal_.text0	808333a0	8085f31f	0x2bf80	true	true	true	false	Default	true			
mkb2.rel_mini_futsal_.data0	8085f320	8085f323	0x4	true	true	false	false	Default	true			
mkb2.rel_mini_futsal_.data1	8085f324	8085f327	0x4	true	true	false	false	Default	true			
mkb2.rel_mini_futsal_.data2	8085f328	8086072f	0x1408	true	false	false	false	Default	true			
mkb2.rel_mini_futsal_.data3	80860730	80860d4b	0x61c	true	true	false	false	Default	true			
mkb2.rel_mini_futsal_.uninitialized0	80860d50	808c508b	0x6433c	true	true	false	false	Default	false			
mkb2.dogfight_.text0	808c50a0	808dc02f	0x16f90	true	true	true	false	Default	true			
mkb2.dogfight_.data0	808dc030	808dc033	0x4	true	true	false	false	Default	true			
mkb2.dogfight_.data1	808dc034	808dc037	0x4	true	true	false	false	Default	true			
mkb2.dogfight_.data2	808dc038	808dcbf3	0xbbc	true	false	false	false	Default	true			
mkb2.dogfight_.data3	808dcbf4	808de31b	0x1728	true	true	false	false	Default	true			
mkb2.dogfight_.uninitialized0	808de320	808f0e53	0x12b34	true	true	false	false	Default	false			
mkb2.baseball_.text0	808f0e60	809189a3	0x27b44	true	true	true	false	Default	true			
mkb2.baseball_.data0	809189a4	809189a7	0x4	true	true	false	false	Default	true			
mkb2.baseball_.data1	809189a8	809189ab	0x4	true	true	false	false	Default	true			
mkb2.baseball_.data2	809189ac	8091cb0b	0x4160	true	false	false	false	Default	true			
mkb2.baseball_.data3	8091cb0c	8099fa57	0x82f4c	true	true	false	false	Default	true			
mkb2.baseball_.uninitialized0	8099fa58	809b9e3f	0x1a3e8	true	true	false	false	Default	false			
mkb2.tennis_.text0	809b9e40	809e2bfb	0x28dbc	true	true	true	false	Default	true			
mkb2.tennis_.data0	809e2bfc	809e2bff	0x4	true	true	false	false	Default	true			
mkb2.tennis_.data1	809e2c00	809e2c03	0x4	true	true	false	false	Default	true			
mkb2.tennis_.data2	809e2c04	809e3f78	0x1375	true	false	false	false	Default	true			
mkb2.tennis_.data3	809e3f79	809ed4a7	0x952f	true	true	false	false	Default	true			
mkb2.tennis_.uninitialized0	809ed4a8	809ee5bf	0x1118	true	true	false	false	Default	false			
mkb2.exoption_.text0	809ee5c0	809f1483	0x2ec4	true	true	true	false	Default	true			
mkb2.exoption_.data0	809f1484	809f1487	0x4	true	true	false	false	Default	true			
mkb2.exoption_.data1	809f1488	809f148b	0x4	true	true	false	false	Default	true			
mkb2.exoption_.data2	809f148c	809f158b	0x100	true	false	false	false	Default	true			
mkb2.exoption_.data3	809f158c	809f1aa9	0x51e	true	true	false	false	Default	true			
mkb2.exoption_.uninitialized0	809f1ab0	809f1b2f	0x80	true	true	false	false	Default	false			
CP	cc000000	cc00007f	0x80	true	true	false	true	Default	false			Command Processor Register
PE	cc001000	cc0010ff	0x100	true	true	false	true	Default	false			Pixel Engine Register
VI	cc002000	cc0020ff	0x100	true	true	false	true	Default	false			Video Interface Register
PI	cc003000	cc0030ff	0x100	true	true	false	true	Default	false			Processor Interface Register
MI	cc004000	cc00407f	0x80	true	true	false	true	Default	false			Memory Interface Register
DSP	cc005000	cc0051ff	0x200	true	true	false	true	Default	false			Digital Signal Processor Register
DI	cc006000	cc00603f	0x40	true	true	false	true	Default	false			DVD Interface Reigster
SI	cc006400	cc0064ff	0x100	true	true	false	true	Default	false			Serial Interface Reigster
EXI	cc006800	cc00683f	0x40	true	true	false	true	Default	false			External Interface Reigster
AI	cc006c00	cc006c3f	0x40	true	true	false	true	Default	false			Audio Interface Reigster
GXFIFO	cc008000	cc008007	0x8	true	true	false	true	Default	false			Graphics FIFO Reigster
